X,Y,color,group,group_num,coverage,pc1_pcnt,pc2_pcnt
-0.12942338,0.06176939,blue,inland maryland,7,5,4.4639864,3.0241222
-0.14493187,0.22896883,red,inland virginia,6,5,4.4639864,3.0241222
-0.12254654,0.05601281,blue,inland new york,8,5,4.4639864,3.0241222
0.25802025,0.18068787,orange,barrier island,3,5,4.4639864,3.0241222
0.07838991,-0.17903687,pink,barrier island,1,5,4.4639864,3.0241222
0.13237217,-0.23325329,pink,barrier island,2,5,4.4639864,3.0241222
-0.12462625,0.050043948,blue,inland new york,8,5,4.4639864,3.0241222
-0.12873802,0.054985292,blue,maine,9,5,4.4639864,3.0241222
-0.12510571,0.07094053,blue,inland virginia,6,5,4.4639864,3.0241222
0.050448902,-0.103208944,pink,chesapeake bay,4,5,4.4639864,3.0241222
0.112490945,-0.18744077,pink,barrier island,2,5,4.4639864,3.0241222
-0.0092440285,-0.0577552,blue,coastal mainland,5,5,4.4639864,3.0241222
0.3000289,0.25256106,orange,barrier island,3,5,4.4639864,3.0241222
-0.12639362,0.05327373,blue,inland new york,8,5,4.4639864,3.0241222
-0.1302989,0.060674824,blue,inland maryland,7,5,4.4639864,3.0241222
-0.0156241115,-0.046623595,blue,coastal mainland,5,5,4.4639864,3.0241222
-0.12187318,0.05301161,blue,maine,9,5,4.4639864,3.0241222
0.12911423,-0.17021772,pink,barrier island,2,5,4.4639864,3.0241222
-0.04652566,-0.0032053455,blue,coastal mainland,5,5,4.4639864,3.0241222
0.11979372,-0.20237353,pink,barrier island,2,5,4.4639864,3.0241222
-0.12266953,0.063118994,blue,inland virginia,6,5,4.4639864,3.0241222
-0.051357035,-0.0008645567,blue,coastal mainland,5,5,4.4639864,3.0241222
0.020860288,-0.10149489,pink,coastal mainland,5,5,4.4639864,3.0241222
-0.017226264,-0.034013648,blue,chesapeake bay,4,7.5,4.7131925,3.3379645
-0.14009553,0.03962907,red,maine,9,7.5,4.7131925,3.3379645
-0.045936123,-0.03584708,pink,coastal mainland,5,7.5,4.7131925,3.3379645
-0.061376784,-2.3076193e-05,blue,coastal mainland,5,7.5,4.7131925,3.3379645
-0.044050127,-0.02702323,pink,coastal mainland,5,7.5,4.7131925,3.3379645
-0.16459937,0.061635055,red,inland virginia,6,7.5,4.7131925,3.3379645
-0.01621466,-0.01819734,pink,coastal mainland,5,7.5,4.7131925,3.3379645
-0.050626002,-0.02643679,pink,coastal mainland,5,7.5,4.7131925,3.3379645
0.10407354,-0.10814727,pink,barrier island,1,7.5,4.7131925,3.3379645
0.21723823,-0.17427397,gray,barrier island,2,7.5,4.7131925,3.3379645
-0.16405009,0.054905947,red,inland virginia,6,7.5,4.7131925,3.3379645
0.06368872,-0.071831,pink,chesapeake bay,4,7.5,4.7131925,3.3379645
-0.14487316,0.025862895,blue,inland new york,8,7.5,4.7131925,3.3379645
-0.012175579,-0.029167855,pink,coastal mainland,5,7.5,4.7131925,3.3379645
0.2863868,0.441173,orange,barrier island,3,7.5,4.7131925,3.3379645
-0.16688716,0.059535034,red,inland maryland,7,7.5,4.7131925,3.3379645
0.19760473,-0.110266574,pink,barrier island,2,7.5,4.7131925,3.3379645
-0.16048002,0.04727411,red,inland maryland,7,7.5,4.7131925,3.3379645
-0.16845158,0.034670714,blue,inland new york,8,7.5,4.7131925,3.3379645
0.30606174,0.47194493,orange,barrier island,3,7.5,4.7131925,3.3379645
0.17399497,-0.13906436,pink,barrier island,2,7.5,4.7131925,3.3379645
0.118135214,-0.061070606,pink,barrier island,1,7.5,4.7131925,3.3379645
-0.020964893,-0.022324925,pink,coastal mainland,5,7.5,4.7131925,3.3379645
0.12745546,-0.08979539,pink,barrier island,1,7.5,4.7131925,3.3379645
0.307293,0.46343026,orange,barrier island,3,7.5,4.7131925,3.3379645
-0.14591128,0.004372488,blue,maine,9,7.5,4.7131925,3.3379645
-0.04739805,-0.0043759276,pink,coastal mainland,5,7.5,4.7131925,3.3379645
-0.040245473,-0.02295398,pink,coastal mainland,5,7.5,4.7131925,3.3379645
-0.16722353,0.05247945,red,inland maryland,7,7.5,4.7131925,3.3379645
0.23007804,-0.32593146,gray,barrier island,2,7.5,4.7131925,3.3379645
-0.16075803,0.023041256,red,maine,9,7.5,4.7131925,3.3379645
